batch 2170 finished, second per batch: 11.027381
batch 2180 finished, second per batch: 11.032133
batch 2190 finished, second per batch: 11.032512
batch 2200 finished, second per batch: 11.031172
batch 2210 finished, second per batch: 11.029134
batch 2220 finished, second per batch: 11.027076
batch 2230 finished, second per batch: 11.025719
batch 2240 finished, second per batch: 11.024744
12 pass end, cost time: 1939.402551, avg_cost: 0.040005
batch 2250 finished, second per batch: 11.022654
batch 2260 finished, second per batch: 11.021985
batch 2270 finished, second per batch: 11.019927
batch 2280 finished, second per batch: 11.018802
batch 2290 finished, second per batch: 11.017746
batch 2300 finished, second per batch: 11.015351
batch 2310 finished, second per batch: 11.014186
batch 2320 finished, second per batch: 11.012780
batch 2330 finished, second per batch: 11.012362
batch 2340 finished, second per batch: 11.009554
batch 2350 finished, second per batch: 11.007934
batch 2360 finished, second per batch: 11.006235
batch 2370 finished, second per batch: 11.004581
batch 2380 finished, second per batch: 11.004135
batch 2390 finished, second per batch: 11.002213
batch 2400 finished, second per batch: 11.000882
batch 2410 finished, second per batch: 10.998583
batch 2420 finished, second per batch: 10.996763
13 pass end, cost time: 1845.064069, avg_cost: 0.039575
batch 2430 finished, second per batch: 10.997740
batch 2440 finished, second per batch: 10.998516
batch 2450 finished, second per batch: 10.997465
batch 2460 finished, second per batch: 10.996362
batch 2470 finished, second per batch: 10.994392
batch 2480 finished, second per batch: 10.993788
batch 2490 finished, second per batch: 10.992609
batch 2500 finished, second per batch: 10.991628
batch 2510 finished, second per batch: 10.994954
batch 2520 finished, second per batch: 10.998649
batch 2530 finished, second per batch: 10.997311
batch 2540 finished, second per batch: 10.995727
batch 2550 finished, second per batch: 10.994459
batch 2560 finished, second per batch: 10.992812
batch 2570 finished, second per batch: 10.992120
batch 2580 finished, second per batch: 10.994243
batch 2590 finished, second per batch: 10.995423
14 pass end, cost time: 1901.047586, avg_cost: 0.037411
batch 2600 finished, second per batch: 10.998470
batch 2610 finished, second per batch: 11.000624
batch 2620 finished, second per batch: 11.000275
batch 2630 finished, second per batch: 10.998846
batch 2640 finished, second per batch: 10.996934
batch 2650 finished, second per batch: 10.995337
batch 2660 finished, second per batch: 10.997036
batch 2670 finished, second per batch: 10.998661
batch 2680 finished, second per batch: 10.997551
batch 2690 finished, second per batch: 10.995701
batch 2700 finished, second per batch: 10.996141
batch 2710 finished, second per batch: 10.996258
batch 2720 finished, second per batch: 10.994736
batch 2730 finished, second per batch: 10.993270
batch 2740 finished, second per batch: 10.991896
batch 2750 finished, second per batch: 10.991409
batch 2760 finished, second per batch: 10.989600
15 pass end, cost time: 1882.940636, avg_cost: 0.035648
batch 2770 finished, second per batch: 10.990241
batch 2780 finished, second per batch: 10.989895
batch 2790 finished, second per batch: 10.988455
batch 2800 finished, second per batch: 10.987849
batch 2810 finished, second per batch: 10.988088
batch 2820 finished, second per batch: 10.986725
batch 2830 finished, second per batch: 10.985202
batch 2840 finished, second per batch: 10.983958
batch 2850 finished, second per batch: 10.983579
batch 2860 finished, second per batch: 10.981461
batch 2870 finished, second per batch: 10.979698
batch 2880 finished, second per batch: 10.977893
batch 2890 finished, second per batch: 10.977579
batch 2900 finished, second per batch: 10.975896
batch 2910 finished, second per batch: 10.974032
batch 2920 finished, second per batch: 10.972731
batch 2930 finished, second per batch: 10.971590
batch 2940 finished, second per batch: 10.970073
16 pass end, cost time: 1845.167977, avg_cost: 0.034345
batch 2950 finished, second per batch: 10.970023
batch 2960 finished, second per batch: 10.968527
batch 2970 finished, second per batch: 10.967707
batch 2980 finished, second per batch: 10.968512
batch 2990 finished, second per batch: 10.968258
batch 3000 finished, second per batch: 10.967347
batch 3010 finished, second per batch: 10.966155
batch 3020 finished, second per batch: 10.965388
batch 3030 finished, second per batch: 10.963960
batch 3040 finished, second per batch: 10.964038
batch 3050 finished, second per batch: 10.962504
batch 3060 finished, second per batch: 10.960848
batch 3070 finished, second per batch: 10.959829
batch 3080 finished, second per batch: 10.959641
batch 3090 finished, second per batch: 10.958428
batch 3100 finished, second per batch: 10.957402
batch 3110 finished, second per batch: 10.958499
17 pass end, cost time: 1860.024805, avg_cost: 0.033138
batch 3120 finished, second per batch: 10.957978
batch 3130 finished, second per batch: 10.957456
batch 3140 finished, second per batch: 10.956256
batch 3150 finished, second per batch: 10.956673
batch 3160 finished, second per batch: 10.956261
batch 3170 finished, second per batch: 10.955530
batch 3180 finished, second per batch: 10.955464
batch 3190 finished, second per batch: 10.953912
batch 3200 finished, second per batch: 10.954623
batch 3210 finished, second per batch: 10.955062
batch 3220 finished, second per batch: 10.954828
batch 3230 finished, second per batch: 10.954759
batch 3240 finished, second per batch: 10.955217
batch 3250 finished, second per batch: 10.954007
batch 3260 finished, second per batch: 10.953045
batch 3270 finished, second per batch: 10.953002
batch 3280 finished, second per batch: 10.953293
18 pass end, cost time: 1879.355086, avg_cost: 0.031910
batch 3290 finished, second per batch: 10.953471
batch 3300 finished, second per batch: 10.952590
batch 3310 finished, second per batch: 10.951647
batch 3320 finished, second per batch: 10.953746
batch 3330 finished, second per batch: 10.958963
batch 3340 finished, second per batch: 10.964926
batch 3350 finished, second per batch: 10.968775
batch 3360 finished, second per batch: 10.970647
batch 3370 finished, second per batch: 10.970147
batch 3380 finished, second per batch: 10.969014
batch 3390 finished, second per batch: 10.968617
batch 3400 finished, second per batch: 10.969716
batch 3410 finished, second per batch: 10.970617
batch 3420 finished, second per batch: 10.969312
batch 3430 finished, second per batch: 10.968383
batch 3440 finished, second per batch: 10.967700
batch 3450 finished, second per batch: 10.967399
19 pass end, cost time: 1938.537402, avg_cost: 0.030657
batch 3460 finished, second per batch: 10.966324
batch 3470 finished, second per batch: 10.965771
batch 3480 finished, second per batch: 10.964387
batch 3490 finished, second per batch: 10.963484
batch 3500 finished, second per batch: 10.965246
batch 3510 finished, second per batch: 10.971317
batch 3520 finished, second per batch: 10.972403
batch 3530 finished, second per batch: 10.972908
batch 3540 finished, second per batch: 10.973887
batch 3550 finished, second per batch: 10.975269
batch 3560 finished, second per batch: 10.974866
batch 3570 finished, second per batch: 10.974735
batch 3580 finished, second per batch: 10.975386
batch 3590 finished, second per batch: 10.974324
batch 3600 finished, second per batch: 10.975860
batch 3610 finished, second per batch: 10.975691
batch 3620 finished, second per batch: 10.974981
batch 3630 finished, second per batch: 10.975627
20 pass end, cost time: 1932.331102, avg_cost: 0.029873
batch 3640 finished, second per batch: 10.977643
batch 3650 finished, second per batch: 10.977778
batch 3660 finished, second per batch: 10.976872
batch 3670 finished, second per batch: 10.975620
batch 3680 finished, second per batch: 10.974267
batch 3690 finished, second per batch: 10.974149
batch 3700 finished, second per batch: 10.974155
batch 3710 finished, second per batch: 10.977449
batch 3720 finished, second per batch: 10.977957
batch 3730 finished, second per batch: 10.976949
batch 3740 finished, second per batch: 10.976371
batch 3750 finished, second per batch: 10.976095
batch 3760 finished, second per batch: 10.976046
batch 3770 finished, second per batch: 10.976964
batch 3780 finished, second per batch: 10.977461
batch 3790 finished, second per batch: 10.976666
batch 3800 finished, second per batch: 10.977454
21 pass end, cost time: 1903.833564, avg_cost: 0.029239
batch 3810 finished, second per batch: 10.977153
batch 3820 finished, second per batch: 10.976226
batch 3830 finished, second per batch: 10.976009
batch 3840 finished, second per batch: 10.975082
batch 3850 finished, second per batch: 10.973893
batch 3860 finished, second per batch: 10.972826
batch 3870 finished, second per batch: 10.971920
batch 3880 finished, second per batch: 10.971967
batch 3890 finished, second per batch: 10.971011
batch 3900 finished, second per batch: 10.969986
batch 3910 finished, second per batch: 10.968784
batch 3920 finished, second per batch: 10.968196
batch 3930 finished, second per batch: 10.969267
batch 3940 finished, second per batch: 10.968363
batch 3950 finished, second per batch: 10.969142
batch 3960 finished, second per batch: 10.968608
batch 3970 finished, second per batch: 10.968073
22 pass end, cost time: 1858.794543, avg_cost: 0.028501
batch 3980 finished, second per batch: 10.967383
batch 3990 finished, second per batch: 10.968409
batch 4000 finished, second per batch: 10.967869
batch 4010 finished, second per batch: 10.968378
batch 4020 finished, second per batch: 10.967805
batch 4030 finished, second per batch: 10.966802
batch 4040 finished, second per batch: 10.965848
batch 4050 finished, second per batch: 10.965832
batch 4060 finished, second per batch: 10.967807
batch 4070 finished, second per batch: 10.966665
batch 4080 finished, second per batch: 10.965759
batch 4090 finished, second per batch: 10.964406
batch 4100 finished, second per batch: 10.963704
batch 4110 finished, second per batch: 10.963027
batch 4120 finished, second per batch: 10.962084
batch 4130 finished, second per batch: 10.960939
batch 4140 finished, second per batch: 10.960190
batch 4150 finished, second per batch: 10.958805
23 pass end, cost time: 1863.970955, avg_cost: 0.028014
batch 4160 finished, second per batch: 10.958814
batch 4170 finished, second per batch: 10.957806
batch 4180 finished, second per batch: 10.956420
batch 4190 finished, second per batch: 10.955036
batch 4200 finished, second per batch: 10.955054
batch 4210 finished, second per batch: 10.954914
batch 4220 finished, second per batch: 10.954089
batch 4230 finished, second per batch: 10.953302
batch 4240 finished, second per batch: 10.952174
batch 4250 finished, second per batch: 10.951970
batch 4260 finished, second per batch: 10.950855
batch 4270 finished, second per batch: 10.949927
batch 4280 finished, second per batch: 10.949067
batch 4290 finished, second per batch: 10.948054
batch 4300 finished, second per batch: 10.949093
batch 4310 finished, second per batch: 10.948812
batch 4320 finished, second per batch: 10.947770
24 pass end, cost time: 1845.568521, avg_cost: 0.027740
batch 4330 finished, second per batch: 10.947002
batch 4340 finished, second per batch: 10.946353
batch 4350 finished, second per batch: 10.947517
batch 4360 finished, second per batch: 10.946546
batch 4370 finished, second per batch: 10.945624
batch 4380 finished, second per batch: 10.945048
batch 4390 finished, second per batch: 10.944864
batch 4400 finished, second per batch: 10.944042
batch 4410 finished, second per batch: 10.942978
batch 4420 finished, second per batch: 10.941981
batch 4430 finished, second per batch: 10.940717
batch 4440 finished, second per batch: 10.940018
batch 4450 finished, second per batch: 10.939187
batch 4460 finished, second per batch: 10.938045
batch 4470 finished, second per batch: 10.937202
batch 4480 finished, second per batch: 10.937976
batch 4490 finished, second per batch: 10.937689
25 pass end, cost time: 1846.452396, avg_cost: 0.027374
batch 4500 finished, second per batch: 10.936825
batch 4510 finished, second per batch: 10.936122
batch 4520 finished, second per batch: 10.934997
batch 4530 finished, second per batch: 10.934471
batch 4540 finished, second per batch: 10.933122
batch 4550 finished, second per batch: 10.931904
batch 4560 finished, second per batch: 10.932152
batch 4570 finished, second per batch: 10.932124
batch 4580 finished, second per batch: 10.932863
batch 4590 finished, second per batch: 10.933443
batch 4600 finished, second per batch: 10.938162
batch 4610 finished, second per batch: 10.938172
batch 4620 finished, second per batch: 10.938109
batch 4630 finished, second per batch: 10.937000
batch 4640 finished, second per batch: 10.935893
batch 4650 finished, second per batch: 10.934959
batch 4660 finished, second per batch: 10.933775
batch 4670 finished, second per batch: 10.932559
26 pass end, cost time: 1873.285535, avg_cost: 0.027066
batch 4680 finished, second per batch: 10.933096
batch 4690 finished, second per batch: 10.932786
batch 4700 finished, second per batch: 10.931547
batch 4710 finished, second per batch: 10.930153
batch 4720 finished, second per batch: 10.929293
batch 4730 finished, second per batch: 10.927934
batch 4740 finished, second per batch: 10.926680
batch 4750 finished, second per batch: 10.928731
batch 4760 finished, second per batch: 10.931750
batch 4770 finished, second per batch: 10.932726
batch 4780 finished, second per batch: 10.931602
batch 4790 finished, second per batch: 10.930799
batch 4800 finished, second per batch: 10.929540
batch 4810 finished, second per batch: 10.930417
batch 4820 finished, second per batch: 10.930832
batch 4830 finished, second per batch: 10.931485
batch 4840 finished, second per batch: 10.931685
27 pass end, cost time: 1885.045526, avg_cost: 0.026812
batch 4850 finished, second per batch: 10.931044
batch 4860 finished, second per batch: 10.930431
batch 4870 finished, second per batch: 10.929458
batch 4880 finished, second per batch: 10.928437
batch 4890 finished, second per batch: 10.927164
batch 4900 finished, second per batch: 10.925918
batch 4910 finished, second per batch: 10.925623
batch 4920 finished, second per batch: 10.924751
batch 4930 finished, second per batch: 10.923903
batch 4940 finished, second per batch: 10.922845
batch 4950 finished, second per batch: 10.923574
batch 4960 finished, second per batch: 10.922670
batch 4970 finished, second per batch: 10.921645
batch 4980 finished, second per batch: 10.920580
batch 4990 finished, second per batch: 10.919372
batch 5000 finished, second per batch: 10.919067
batch 5010 finished, second per batch: 10.917913
28 pass end, cost time: 1819.029296, avg_cost: 0.026539
batch 5020 finished, second per batch: 10.917140
batch 5030 finished, second per batch: 10.916006
batch 5040 finished, second per batch: 10.915040
batch 5050 finished, second per batch: 10.914656
batch 5060 finished, second per batch: 10.913411
batch 5070 finished, second per batch: 10.912276
batch 5080 finished, second per batch: 10.911608
batch 5090 finished, second per batch: 10.911126
batch 5100 finished, second per batch: 10.910330
batch 5110 finished, second per batch: 10.909192
batch 5120 finished, second per batch: 10.908359
batch 5130 finished, second per batch: 10.907039
batch 5140 finished, second per batch: 10.906823
batch 5150 finished, second per batch: 10.905669
batch 5160 finished, second per batch: 10.904575
batch 5170 finished, second per batch: 10.903821
batch 5180 finished, second per batch: 10.903342
29 pass end, cost time: 1810.971476, avg_cost: 0.026384
batch 5190 finished, second per batch: 10.902494
batch 5200 finished, second per batch: 10.902091
batch 5210 finished, second per batch: 10.901053
batch 5220 finished, second per batch: 10.900517
batch 5230 finished, second per batch: 10.900020
batch 5240 finished, second per batch: 10.898794
batch 5250 finished, second per batch: 10.898017
batch 5260 finished, second per batch: 10.897169
batch 5270 finished, second per batch: 10.896424
batch 5280 finished, second per batch: 10.895655
batch 5290 finished, second per batch: 10.894684
batch 5300 finished, second per batch: 10.893514
batch 5310 finished, second per batch: 10.892804
batch 5320 finished, second per batch: 10.891921
batch 5330 finished, second per batch: 10.891439
batch 5340 finished, second per batch: 10.891977
batch 5350 finished, second per batch: 10.891947
batch 5360 finished, second per batch: 10.890813
30 pass end, cost time: 1825.262882, avg_cost: 0.026198
batch 5370 finished, second per batch: 10.890435
batch 5380 finished, second per batch: 10.890315
batch 5390 finished, second per batch: 10.889360
batch 5400 finished, second per batch: 10.888464
batch 5410 finished, second per batch: 10.887616
batch 5420 finished, second per batch: 10.887190
batch 5430 finished, second per batch: 10.886513
batch 5440 finished, second per batch: 10.885800
batch 5450 finished, second per batch: 10.884749
batch 5460 finished, second per batch: 10.883924
batch 5470 finished, second per batch: 10.883383
batch 5480 finished, second per batch: 10.882341
batch 5490 finished, second per batch: 10.881393
batch 5500 finished, second per batch: 10.880550
batch 5510 finished, second per batch: 10.880287
batch 5520 finished, second per batch: 10.879574
batch 5530 finished, second per batch: 10.880042
31 pass end, cost time: 1822.900222, avg_cost: 0.026025
batch 5540 finished, second per batch: 10.879518
batch 5550 finished, second per batch: 10.878764
batch 5560 finished, second per batch: 10.878279
batch 5570 finished, second per batch: 10.877677
batch 5580 finished, second per batch: 10.876691
batch 5590 finished, second per batch: 10.875718
batch 5600 finished, second per batch: 10.875035
batch 5610 finished, second per batch: 10.874681
batch 5620 finished, second per batch: 10.874194
batch 5630 finished, second per batch: 10.875207
batch 5640 finished, second per batch: 10.877948
batch 5650 finished, second per batch: 10.877877
batch 5660 finished, second per batch: 10.877268
batch 5670 finished, second per batch: 10.877604
batch 5680 finished, second per batch: 10.876609
batch 5690 finished, second per batch: 10.875971
batch 5700 finished, second per batch: 10.875633
32 pass end, cost time: 1861.056671, avg_cost: 0.025755
batch 5710 finished, second per batch: 10.876389
batch 5720 finished, second per batch: 10.876137
batch 5730 finished, second per batch: 10.875230
batch 5740 finished, second per batch: 10.874432
batch 5750 finished, second per batch: 10.873956
batch 5760 finished, second per batch: 10.873053
batch 5770 finished, second per batch: 10.872578
batch 5780 finished, second per batch: 10.872661
batch 5790 finished, second per batch: 10.872516
batch 5800 finished, second per batch: 10.871504
batch 5810 finished, second per batch: 10.870688
batch 5820 finished, second per batch: 10.872783
batch 5830 finished, second per batch: 10.873297
batch 5840 finished, second per batch: 10.872845
batch 5850 finished, second per batch: 10.872004
batch 5860 finished, second per batch: 10.871274
batch 5870 finished, second per batch: 10.870622
batch 5880 finished, second per batch: 10.869728
33 pass end, cost time: 1844.876313, avg_cost: 0.025650
batch 5890 finished, second per batch: 10.871012
batch 5900 finished, second per batch: 10.870427
batch 5910 finished, second per batch: 10.869693
batch 5920 finished, second per batch: 10.868761
batch 5930 finished, second per batch: 10.867814
batch 5940 finished, second per batch: 10.867294
batch 5950 finished, second per batch: 10.866651
batch 5960 finished, second per batch: 10.865874
batch 5970 finished, second per batch: 10.868327
batch 5980 finished, second per batch: 10.872478
batch 5990 finished, second per batch: 10.872809
batch 6000 finished, second per batch: 10.872118
batch 6010 finished, second per batch: 10.871624
batch 6020 finished, second per batch: 10.871039
batch 6030 finished, second per batch: 10.870527
batch 6040 finished, second per batch: 10.869752
batch 6050 finished, second per batch: 10.868866
34 pass end, cost time: 1871.827545, avg_cost: 0.025481
batch 6060 finished, second per batch: 10.868157
batch 6070 finished, second per batch: 10.867675
batch 6080 finished, second per batch: 10.867366
batch 6090 finished, second per batch: 10.866416
batch 6100 finished, second per batch: 10.865314
batch 6110 finished, second per batch: 10.865138
batch 6120 finished, second per batch: 10.865909
batch 6130 finished, second per batch: 10.865664
batch 6140 finished, second per batch: 10.864775
batch 6150 finished, second per batch: 10.863800
batch 6160 finished, second per batch: 10.863929
batch 6170 finished, second per batch: 10.863565
batch 6180 finished, second per batch: 10.862786
batch 6190 finished, second per batch: 10.861877
batch 6200 finished, second per batch: 10.862111
batch 6210 finished, second per batch: 10.862298
batch 6220 finished, second per batch: 10.861344
35 pass end, cost time: 1830.670471, avg_cost: 0.025388
batch 6230 finished, second per batch: 10.860424
batch 6240 finished, second per batch: 10.859700
batch 6250 finished, second per batch: 10.858868
batch 6260 finished, second per batch: 10.858740
batch 6270 finished, second per batch: 10.857777
batch 6280 finished, second per batch: 10.856777
batch 6290 finished, second per batch: 10.855985
batch 6300 finished, second per batch: 10.855218
batch 6310 finished, second per batch: 10.856202
batch 6320 finished, second per batch: 10.855481
batch 6330 finished, second per batch: 10.854676
batch 6340 finished, second per batch: 10.853620
batch 6350 finished, second per batch: 10.853347
batch 6360 finished, second per batch: 10.852441
batch 6370 finished, second per batch: 10.851696
batch 6380 finished, second per batch: 10.850835
batch 6390 finished, second per batch: 10.849941
batch 6400 finished, second per batch: 10.849002
36 pass end, cost time: 1806.166229, avg_cost: 0.025226
batch 6410 finished, second per batch: 10.848913
batch 6420 finished, second per batch: 10.847881
batch 6430 finished, second per batch: 10.847135
batch 6440 finished, second per batch: 10.847068
batch 6450 finished, second per batch: 10.847541
batch 6460 finished, second per batch: 10.846708
batch 6470 finished, second per batch: 10.845826
batch 6480 finished, second per batch: 10.845171
batch 6490 finished, second per batch: 10.844351
batch 6500 finished, second per batch: 10.845134
batch 6510 finished, second per batch: 10.844532
